【ＪＩＳコードのリスト】
        ＪＩＳ Ｘ ０２０８

JIS     SJIS    char    区点
5027    98a5    丼      48-07
5028    98a6    丿      48-08
5029    98a7    乂      48-09
502a    98a8    乖      48-10
502b    98a9    乘      48-11
502c    98aa    亂      48-12
502d    98ab    亅      48-13
502e    98ac    豫      48-14
502f    98ad    亊      48-15
5030    98ae    舒      48-16
5031    98af    弍      48-17
5032    98b0    于      48-18
5033    98b1    亞      48-19
5034    98b2    亟      48-20
5035    98b3    亠      48-21
5036    98b4    亢      48-22
5037    98b5    亰      48-23
5038    98b6    亳      48-24
5039    98b7    亶      48-25
503a    98b8    从      48-26
503b    98b9    仍      48-27
503c    98ba    仄      48-28
503d    98bb    仆      48-29
503e    98bc    仂      48-30
503f    98bd    仗      48-31
5040    98be    仞      48-32
5041    98bf    仭      48-33
5042    98c0    仟      48-34
5043    98c1    价      48-35
5044    98c2    伉      48-36
5045    98c3    佚      48-37
5046    98c4    估      48-38
5047    98c5    佛      48-39
5048    98c6    佝      48-40
5049    98c7    佗      48-41
504a    98c8    佇      48-42
504b    98c9    佶      48-43
504c    98ca    侈      48-44
504d    98cb    侏      48-45
504e    98cc    侘      48-46
504f    98cd    佻      48-47
5050    98ce    佩      48-48
5051    98cf    佰      48-49
5052    98d0    侑      48-50
5053    98d1    佯      48-51
5054    98d2    來      48-52
5055    98d3    侖      48-53
5056    98d4    儘      48-54
5057    98d5    俔      48-55
5058    98d6    俟      48-56
5059    98d7    俎      48-57
505a    98d8    俘      48-58
505b    98d9    俛      48-59
505c    98da    俑      48-60
505d    98db    俚      48-61
505e    98dc    俐      48-62
505f    98dd    俤      48-63
5060    98de    俥      48-64
5061    98df    倚      48-65
5062    98e0    倨      48-66
5063    98e1    倔      48-67
5064    98e2    倪      48-68
5065    98e3    倥      48-69
5066    98e4    倅      48-70
5067    98e5    伜      48-71
5068    98e6    俶      48-72
5069    98e7    倡      48-73
506a    98e8    倩      48-74
506b    98e9    倬      48-75
506c    98ea    俾      48-76
506d    98eb    俯      48-77
506e    98ec    們      48-78
506f    98ed    倆      48-79
5070    98ee    偃      48-80
5071    98ef    假      48-81
5072    98f0    會      48-82
5073    98f1    偕      48-83
5074    98f2    偐      48-84
5075    98f3    偈      48-85
5076    98f4    做      48-86
5077    98f5    偖      48-87
5078    98f6    偬      48-88
5079    98f7    偸      48-89
507a    98f8    傀      48-90
507b    98f9    傚      48-91
507c    98fa    傅      48-92
507d    98fb    傴      48-93
507e    98fc    傲      48-94
5121    9940    僉      49-01
5122    9941    僊      49-02
5123    9942    傳      49-03
5124    9943    僂      49-04
5125    9944    僖      49-05
5126    9945    僞      49-06
5127    9946    僥      49-07
5128    9947    僭      49-08
5129    9948    僣      49-09
512a    9949    僮      49-10
512b    994a    價      49-11
512c    994b    僵      49-12
512d    994c    儉      49-13
512e    994d    儁      49-14
512f    994e    儂      49-15
5130    994f    儖      49-16
5131    9950    儕      49-17
5132    9951    儔      49-18
5133    9952    儚      49-19
5134    9953    儡      49-20
5135    9954    儺      49-21
5136    9955    儷      49-22
5137    9956    儼      49-23
5138    9957    儻      49-24
5139    9958    儿      49-25
513a    9959    兀      49-26
513b    995a    兒      49-27
513c    995b    兌      49-28
513d    995c    兔      49-29
513e    995d    兢      49-30
513f    995e    竸      49-31
5140    995f    兩      49-32
5141    9960    兪      49-33
5142    9961    兮      49-34
5143    9962    冀      49-35
5144    9963    冂      49-36
5145    9964    囘      49-37
5146    9965    册      49-38
5147    9966    冉      49-39
5148    9967    冏      49-40
5149    9968    冑      49-41
514a    9969    冓      49-42
514b    996a    冕      49-43
514c    996b    冖      49-44
514d    996c    冤      49-45
514e    996d    冦      49-46
514f    996e    冢      49-47
5150    996f    冩      49-48
5151    9970    冪      49-49
5152    9971    冫      49-50
5153    9972    决      49-51
5154    9973    冱      49-52
5155    9974    冲      49-53
5156    9975    冰      49-54
5157    9976    况      49-55
5158    9977    冽      49-56
5159    9978    凅      49-57
515a    9979    凉      49-58
515b    997a    凛      49-59
515c    997b    几      49-60
515d    997c    處      49-61
515e    997d    凩      49-62
515f    997e    凭      49-63
5160    9980    凰      49-64
5161    9981    凵      49-65
5162    9982    凾      49-66
5163    9983    刄      49-67
5164    9984    刋      49-68
5165    9985    刔      49-69
5166    9986    刎      49-70
5167    9987    刧      49-71
5168    9988    刪      49-72
5169    9989    刮      49-73
516a    998a    刳      49-74
516b    998b    刹      49-75
516c    998c    剏      49-76
516d    998d    剄      49-77
516e    998e    剋      49-78
516f    998f    剌      49-79
5170    9990    剞      49-80
5171    9991    剔      49-81
5172    9992    剪      49-82
5173    9993    剴      49-83
5174    9994    剩      49-84
5175    9995    剳      49-85
5176    9996    剿      49-86
5177    9997    剽      49-87
5178    9998    劍      49-88
5179    9999    劔      49-89
517a    999a    劒      49-90
517b    999b    剱      49-91
517c    999c    劈      49-92
517d    999d    劑      49-93
517e    999e    辨      49-94
5221    999f    辧      50-01
5222    99a0    劬      50-02
5223    99a1    劭      50-03
5224    99a2    劼      50-04
5225    99a3    劵      50-05
5226    99a4    勁      50-06
5227    99a5    勍      50-07
5228    99a6    勗      50-08
5229    99a7    勞      50-09
522a    99a8    勣      50-10
522b    99a9    勦      50-11
522c    99aa    飭      50-12
522d    99ab    勠      50-13
522e    99ac    勳      50-14
522f    99ad    勵      50-15
5230    99ae    勸      50-16
5231    99af    勹      50-17
5232    99b0    匆      50-18
5233    99b1    匈      50-19
5234    99b2    甸      50-20
5235    99b3    匍      50-21
5236    99b4    匐      50-22
5237    99b5    匏      50-23
5238    99b6    匕      50-24
5239    99b7    匚      50-25
523a    99b8    匣      50-26
523b    99b9    匯      50-27
523c    99ba    匱      50-28
523d    99bb    匳      50-29
523e    99bc    匸      50-30
523f    99bd    區      50-31
5240    99be    卆      50-32
5241    99bf    卅      50-33
5242    99c0    丗      50-34
5243    99c1    卉      50-35
5244    99c2    卍      50-36
5245    99c3    凖      50-37
5246    99c4    卞      50-38
5247    99c5    卩      50-39
5248    99c6    卮      50-40
5249    99c7    夘      50-41
524a    99c8    卻      50-42
524b    99c9    卷      50-43
524c    99ca    厂      50-44
524d    99cb    厖      50-45
524e    99cc    厠      50-46
524f    99cd    厦      50-47
5250    99ce    厥      50-48
5251    99cf    厮      50-49
5252    99d0    厰      50-50
5253    99d1    厶      50-51
5254    99d2    參      50-52
5255    99d3    簒      50-53
5256    99d4    雙      50-54
5257    99d5    叟      50-55
5258    99d6    曼      50-56
5259    99d7    燮      50-57
525a    99d8    叮      50-58
525b    99d9    叨      50-59
525c    99da    叭      50-60
525d    99db    叺      50-61
525e    99dc    吁      50-62
525f    99dd    吽      50-63
5260    99de    呀      50-64
5261    99df    听      50-65
5262    99e0    吭      50-66
5263    99e1    吼      50-67
5264    99e2    吮      50-68
5265    99e3    吶      50-69
5266    99e4    吩      50-70
5267    99e5    吝      50-71
5268    99e6    呎      50-72
5269    99e7    咏      50-73
526a    99e8    呵      50-74
526b    99e9    咎      50-75
526c    99ea    呟      50-76
526d    99eb    呱      50-77
526e    99ec    呷      50-78
526f    99ed    呰      50-79
5270    99ee    咒      50-80
5271    99ef    呻      50-81
5272    99f0    咀      50-82
5273    99f1    呶      50-83
5274    99f2    咄      50-84
5275    99f3    咐      50-85
5276    99f4    咆      50-86
5277    99f5    哇      50-87
5278    99f6    咢      50-88
5279    99f7    咸      50-89
527a    99f8    咥      50-90
527b    99f9    咬      50-91
527c    99fa    哄      50-92
527d    99fb    哈      50-93
527e    99fc    咨      50-94
5321    9a40    咫      51-01
5322    9a41    哂      51-02
5323    9a42    咤      51-03
5324    9a43    咾      51-04
5325    9a44    咼      51-05
5326    9a45    哘      51-06
5327    9a46    哥      51-07
5328    9a47    哦      51-08
5329    9a48    唏      51-09
532a    9a49    唔      51-10
532b    9a4a    哽      51-11
532c    9a4b    哮      51-12
532d    9a4c    哭      51-13
532e    9a4d    哺      51-14
532f    9a4e    哢      51-15
5330    9a4f    唹      51-16
5331    9a50    啀      51-17
5332    9a51    啣      51-18
5333    9a52    啌      51-19
5334    9a53    售      51-20
5335    9a54    啜      51-21
5336    9a55    啅      51-22
5337    9a56    啖      51-23
5338    9a57    啗      51-24
5339    9a58    唸      51-25
533a    9a59    唳      51-26
533b    9a5a    啝      51-27
533c    9a5b    喙      51-28
533d    9a5c    喀      51-29
533e    9a5d    咯      51-30
533f    9a5e    喊      51-31
5340    9a5f    喟      51-32
5341    9a60    啻      51-33
5342    9a61    啾      51-34
5343    9a62    喘      51-35
5344    9a63    喞      51-36
5345    9a64    單      51-37
5346    9a65    啼      51-38
5347    9a66    喃      51-39
5348    9a67    喩      51-40
5349    9a68    喇      51-41
534a    9a69    喨      51-42
534b    9a6a    嗚      51-43
534c    9a6b    嗅      51-44
534d    9a6c    嗟      51-45
534e    9a6d    嗄      51-46
534f    9a6e    嗜      51-47
5350    9a6f    嗤      51-48
5351    9a70    嗔      51-49
5352    9a71    嘔      51-50
5353    9a72    嗷      51-51
5354    9a73    嘖      51-52
5355    9a74    嗾      51-53
5356    9a75    嗽      51-54
5357    9a76    嘛      51-55
5358    9a77    嗹      51-56
5359    9a78    噎      51-57
535a    9a79    噐      51-58
535b    9a7a    營      51-59
535c    9a7b    嘴      51-60
535d    9a7c    嘶      51-61
535e    9a7d    嘲      51-62
535f    9a7e    嘸      51-63
5360    9a80    噫      51-64
5361    9a81    噤      51-65
5362    9a82    嘯      51-66
5363    9a83    噬      51-67
5364    9a84    噪      51-68
5365    9a85    嚆      51-69
5366    9a86    嚀      51-70
5367    9a87    嚊      51-71
5368    9a88    嚠      51-72
5369    9a89    嚔      51-73
536a    9a8a    嚏      51-74
536b    9a8b    嚥      51-75
536c    9a8c    嚮      51-76
536d    9a8d    嚶      51-77
536e    9a8e    嚴      51-78
536f    9a8f    囂      51-79
5370    9a90    嚼      51-80
5371    9a91    囁      51-81
5372    9a92    囃      51-82
5373    9a93    囀      51-83
5374    9a94    囈      51-84
5375    9a95    囎      51-85
5376    9a96    囑      51-86
5377    9a97    囓      51-87
5378    9a98    囗      51-88
5379    9a99    囮      51-89
537a    9a9a    囹      51-90
537b    9a9b    圀      51-91
537c    9a9c    囿      51-92
537d    9a9d    圄      51-93
537e    9a9e    圉      51-94
5421    9a9f    圈      52-01
5422    9aa0    國      52-02
5423    9aa1    圍      52-03
5424    9aa2    圓      52-04
5425    9aa3    團      52-05
5426    9aa4    圖      52-06
5427    9aa5    嗇      52-07
5428    9aa6    圜      52-08
5429    9aa7    圦      52-09
542a    9aa8    圷      52-10
542b    9aa9    圸      52-11
542c    9aaa    坎      52-12
542d    9aab    圻      52-13
542e    9aac    址      52-14
542f    9aad    坏      52-15
5430    9aae    坩      52-16
5431    9aaf    埀      52-17
5432    9ab0    垈      52-18
5433    9ab1    坡      52-19
5434    9ab2    坿      52-20
5435    9ab3    垉      52-21
5436    9ab4    垓      52-22
5437    9ab5    垠      52-23
5438    9ab6    垳      52-24
5439    9ab7    垤      52-25
543a    9ab8    垪      52-26
543b    9ab9    垰      52-27
543c    9aba    埃      52-28
543d    9abb    埆      52-29
543e    9abc    埔      52-30
543f    9abd    埒      52-31
5440    9abe    埓      52-32
5441    9abf    堊      52-33
5442    9ac0    埖      52-34
5443    9ac1    埣      52-35
5444    9ac2    堋      52-36
5445    9ac3    堙      52-37
5446    9ac4    堝      52-38
5447    9ac5    塲      52-39
5448    9ac6    堡      52-40
5449    9ac7    塢      52-41
544a    9ac8    塋      52-42
544b    9ac9    塰      52-43
544c    9aca    毀      52-44
544d    9acb    塒      52-45
544e    9acc    堽      52-46
544f    9acd    塹      52-47
5450    9ace    墅      52-48
5451    9acf    墹      52-49
5452    9ad0    墟      52-50
5453    9ad1    墫      52-51
5454    9ad2    墺      52-52
5455    9ad3    壞      52-53
5456    9ad4    墻      52-54
5457    9ad5    墸      52-55
5458    9ad6    墮      52-56
5459    9ad7    壅      52-57
545a    9ad8    壓      52-58
545b    9ad9    壑      52-59
545c    9ada    壗      52-60
545d    9adb    壙      52-61
545e    9adc    壘      52-62
545f    9add    壥      52-63
5460    9ade    壜      52-64
5461    9adf    壤      52-65
5462    9ae0    壟      52-66
5463    9ae1    壯      52-67
5464    9ae2    壺      52-68
5465    9ae3    壹      52-69
5466    9ae4    壻      52-70
5467    9ae5    壼      52-71
5468    9ae6    壽      52-72
5469    9ae7    夂      52-73
546a    9ae8    夊      52-74
546b    9ae9    夐      52-75
546c    9aea    夛      52-76
546d    9aeb    梦      52-77
546e    9aec    夥      52-78
546f    9aed    夬      52-79
5470    9aee    夭      52-80
5471    9aef    夲      52-81
5472    9af0    夸      52-82
5473    9af1    夾      52-83
5474    9af2    竒      52-84
5475    9af3    奕      52-85
5476    9af4    奐      52-86
5477    9af5    奎      52-87
5478    9af6    奚      52-88
5479    9af7    奘      52-89
547a    9af8    奢      52-90
547b    9af9    奠      52-91
547c    9afa    奧      52-92
547d    9afb    奬      52-93
547e    9afc    奩      52-94
5521    9b40    奸      53-01
5522    9b41    妁      53-02
5523    9b42    妝      53-03
5524    9b43    佞      53-04
5525    9b44    侫      53-05
5526    9b45    妣      53-06
5527    9b46    妲      53-07
5528    9b47    姆      53-08
5529    9b48    姨      53-09
552a    9b49    姜      53-10
552b    9b4a    妍      53-11
552c    9b4b    姙      53-12
552d    9b4c    姚      53-13
552e    9b4d    娥      53-14
552f    9b4e    娟      53-15
5530    9b4f    娑      53-16
5531    9b50    娜      53-17
5532    9b51    娉      53-18
5533    9b52    娚      53-19
5534    9b53    婀      53-20
5535    9b54    婬      53-21
5536    9b55    婉      53-22
5537    9b56    娵      53-23
5538    9b57    娶      53-24
5539    9b58    婢      53-25
553a    9b59    婪      53-26
553b    9b5a    媚      53-27
553c    9b5b    媼      53-28
553d    9b5c    媾      53-29
553e    9b5d    嫋      53-30
553f    9b5e    嫂      53-31
5540    9b5f    媽      53-32
5541    9b60    嫣      53-33
5542    9b61    嫗      53-34
5543    9b62    嫦      53-35
5544    9b63    嫩      53-36
5545    9b64    嫖      53-37
5546    9b65    嫺      53-38
5547    9b66    嫻      53-39
5548    9b67    嬌      53-40
5549    9b68    嬋      53-41
554a    9b69    嬖      53-42
554b    9b6a    嬲      53-43
554c    9b6b    嫐      53-44
554d    9b6c    嬪      53-45
554e    9b6d    嬶      53-46
554f    9b6e    嬾      53-47
5550    9b6f    孃      53-48
5551    9b70    孅      53-49
5552    9b71    孀      53-50
5553    9b72    孑      53-51
5554    9b73    孕      53-52
5555    9b74    孚      53-53
5556    9b75    孛      53-54
5557    9b76    孥      53-55
5558    9b77    孩      53-56
5559    9b78    孰      53-57
555a    9b79    孳      53-58
555b    9b7a    孵      53-59
555c    9b7b    學      53-60
555d    9b7c    斈      53-61
555e    9b7d    孺      53-62
555f    9b7e    宀      53-63
5560    9b80    它      53-64
5561    9b81    宦      53-65
5562    9b82    宸      53-66
5563    9b83    寃      53-67
5564    9b84    寇      53-68
5565    9b85    寉      53-69
5566    9b86    寔      53-70
5567    9b87    寐      53-71
5568    9b88    寤      53-72
5569    9b89    實      53-73
556a    9b8a    寢      53-74
556b    9b8b    寞      53-75
556c    9b8c    寥      53-76
556d    9b8d    寫      53-77
556e    9b8e    寰      53-78
556f    9b8f    寶      53-79
5570    9b90    寳      53-80
5571    9b91    尅      53-81
5572    9b92    將      53-82
5573    9b93    專      53-83
5574    9b94    對      53-84
5575    9b95    尓      53-85
5576    9b96    尠      53-86
5577    9b97    尢      53-87
5578    9b98    尨      53-88
5579    9b99    尸      53-89
557a    9b9a    尹      53-90
557b    9b9b    屁      53-91
557c    9b9c    屆      53-92
557d    9b9d    屎      53-93
557e    9b9e    屓      53-94
5621    9b9f    屐      54-01
5622    9ba0    屏      54-02
5623    9ba1    孱      54-03
5624    9ba2    屬      54-04
5625    9ba3    屮      54-05
5626    9ba4    乢      54-06
5627    9ba5    屶      54-07
5628    9ba6    屹      54-08
5629    9ba7    岌      54-09
562a    9ba8    岑      54-10
562b    9ba9    岔      54-11
562c    9baa    妛      54-12
562d    9bab    岫      54-13
562e    9bac    岻      54-14
562f    9bad    岶      54-15
5630    9bae    岼      54-16
5631    9baf    岷      54-17
5632    9bb0    峅      54-18
5633    9bb1    岾      54-19
5634    9bb2    峇      54-20
5635    9bb3    峙      54-21
5636    9bb4    峩      54-22
5637    9bb5    峽      54-23
5638    9bb6    峺      54-24
5639    9bb7    峭      54-25
563a    9bb8    嶌      54-26
563b    9bb9    峪      54-27
563c    9bba    崋      54-28
563d    9bbb    崕      54-29
563e    9bbc    崗      54-30
563f    9bbd    嵜      54-31
5640    9bbe    崟      54-32
5641    9bbf    崛      54-33
5642    9bc0    崑      54-34
5643    9bc1    崔      54-35
5644    9bc2    崢      54-36
5645    9bc3    崚      54-37
5646    9bc4    崙      54-38
5647    9bc5    崘      54-39
5648    9bc6    嵌      54-40
5649    9bc7    嵒      54-41
564a    9bc8    嵎      54-42
564b    9bc9    嵋      54-43
564c    9bca    嵬      54-44
564d    9bcb    嵳      54-45
564e    9bcc    嵶      54-46
564f    9bcd    嶇      54-47
5650    9bce    嶄      54-48
5651    9bcf    嶂      54-49
5652    9bd0    嶢      54-50
5653    9bd1    嶝      54-51
5654    9bd2    嶬      54-52
5655    9bd3    嶮      54-53
5656    9bd4    嶽      54-54
5657    9bd5    嶐      54-55
5658    9bd6    嶷      54-56
5659    9bd7    嶼      54-57
565a    9bd8    巉      54-58
565b    9bd9    巍      54-59
565c    9bda    巓      54-60
565d    9bdb    巒      54-61
565e    9bdc    巖      54-62
565f    9bdd    巛      54-63
5660    9bde    巫      54-64
5661    9bdf    已      54-65
5662    9be0    巵      54-66
5663    9be1    帋      54-67
5664    9be2    帚      54-68
5665    9be3    帙      54-69
5666    9be4    帑      54-70
5667    9be5    帛      54-71
5668    9be6    帶      54-72
5669    9be7    帷      54-73
566a    9be8    幄      54-74
566b    9be9    幃      54-75
566c    9bea    幀      54-76
566d    9beb    幎      54-77
566e    9bec    幗      54-78
566f    9bed    幔      54-79
5670    9bee    幟      54-80
5671    9bef    幢      54-81
5672    9bf0    幤      54-82
5673    9bf1    幇      54-83
5674    9bf2    幵      54-84
5675    9bf3    并      54-85
5676    9bf4    幺      54-86
5677    9bf5    麼      54-87
5678    9bf6    广      54-88
5679    9bf7    庠      54-89
567a    9bf8    廁      54-90
567b    9bf9    廂      54-91
567c    9bfa    廈      54-92
567d    9bfb    廐      54-93
567e    9bfc    廏      54-94
5721    9c40    廖      55-01
5722    9c41    廣      55-02
5723    9c42    廝      55-03
5724    9c43    廚      55-04
5725    9c44    廛      55-05
5726    9c45    廢      55-06
5727    9c46    廡      55-07
5728    9c47    廨      55-08
5729    9c48    廩      55-09
572a    9c49    廬      55-10
572b    9c4a    廱      55-11
572c    9c4b    廳      55-12
572d    9c4c    廰      55-13
572e    9c4d    廴      55-14
572f    9c4e    廸      55-15
5730    9c4f    廾      55-16
5731    9c50    弃      55-17
5732    9c51    弉      55-18
5733    9c52    彝      55-19
5734    9c53    彜      55-20
5735    9c54    弋      55-21
5736    9c55    弑      55-22
5737    9c56    弖      55-23
5738    9c57    弩      55-24
5739    9c58    弭      55-25
573a    9c59    弸      55-26
573b    9c5a    彁      55-27
573c    9c5b    彈      55-28
573d    9c5c    彌      55-29
573e    9c5d    彎      55-30
573f    9c5e    弯      55-31
5740    9c5f    彑      55-32
5741    9c60    彖      55-33
5742    9c61    彗      55-34
5743    9c62    彙      55-35
5744    9c63    彡      55-36
5745    9c64    彭      55-37
5746    9c65    彳      55-38
5747    9c66    彷      55-39
5748    9c67    徃      55-40
5749    9c68    徂      55-41
574a    9c69    彿      55-42
574b    9c6a    徊      55-43
574c    9c6b    很      55-44
574d    9c6c    徑      55-45
574e    9c6d    徇      55-46
574f    9c6e    從      55-47
5750    9c6f    徙      55-48
5751    9c70    徘      55-49
5752    9c71    徠      55-50
5753    9c72    徨      55-51
5754    9c73    徭      55-52
5755    9c74    徼      55-53
5756    9c75    忖      55-54
5757    9c76    忻      55-55
5758    9c77    忤      55-56
5759    9c78    忸      55-57
575a    9c79    忱      55-58
575b    9c7a    忝      55-59
575c    9c7b    悳      55-60
575d    9c7c    忿      55-61
575e    9c7d    怡      55-62
575f    9c7e    恠      55-63
5760    9c80    怙      55-64
5761    9c81    怐      55-65
5762    9c82    怩      55-66
5763    9c83    怎      55-67
5764    9c84    怱      55-68
5765    9c85    怛      55-69
5766    9c86    怕      55-70
5767    9c87    怫      55-71
5768    9c88    怦      55-72
5769    9c89    怏      55-73
576a    9c8a    怺      55-74
576b    9c8b    恚      55-75
576c    9c8c    恁      55-76
576d    9c8d    恪      55-77
576e    9c8e    恷      55-78
576f    9c8f    恟      55-79
5770    9c90    恊      55-80
5771    9c91    恆      55-81
5772    9c92    恍      55-82
5773    9c93    恣      55-83
5774    9c94    恃      55-84
5775    9c95    恤      55-85
5776    9c96    恂      55-86
5777    9c97    恬      55-87
5778    9c98    恫      55-88
5779    9c99    恙      55-89
577a    9c9a    悁      55-90
577b    9c9b    悍      55-91
577c    9c9c    惧      55-92
577d    9c9d    悃      55-93
577e    9c9e    悚      55-94
5821    9c9f    悄      56-01
5822    9ca0    悛      56-02
5823    9ca1    悖      56-03
5824    9ca2    悗      56-04
5825    9ca3    悒      56-05
5826    9ca4    悧      56-06
5827    9ca5    悋      56-07
5828    9ca6    惡      56-08
5829    9ca7    悸      56-09
582a    9ca8    惠      56-10
582b    9ca9    惓      56-11
582c    9caa    悴      56-12
582d    9cab    忰      56-13
582e    9cac    悽      56-14
582f    9cad    惆      56-15
5830    9cae    悵      56-16
5831    9caf    惘      56-17
5832    9cb0    慍      56-18
5833    9cb1    愕      56-19
5834    9cb2    愆      56-20
5835    9cb3    惶      56-21
5836    9cb4    惷      56-22
5837    9cb5    愀      56-23
5838    9cb6    惴      56-24
5839    9cb7    惺      56-25
583a    9cb8    愃      56-26
583b    9cb9    愡      56-27
583c    9cba    惻      56-28
583d    9cbb    惱      56-29
583e    9cbc    愍      56-30
583f    9cbd    愎      56-31
5840    9cbe    慇      56-32
5841    9cbf    愾      56-33
5842    9cc0    愨      56-34
5843    9cc1    愧      56-35
5844    9cc2    慊      56-36
5845    9cc3    愿      56-37
5846    9cc4    愼      56-38
5847    9cc5    愬      56-39
5848    9cc6    愴      56-40
5849    9cc7    愽      56-41
584a    9cc8    慂      56-42
584b    9cc9    慄      56-43
584c    9cca    慳      56-44
584d    9ccb    慷      56-45
584e    9ccc    慘      56-46
584f    9ccd    慙      56-47
5850    9cce    慚      56-48
5851    9ccf    慫      56-49
5852    9cd0    慴      56-50
5853    9cd1    慯      56-51
5854    9cd2    慥      56-52
5855    9cd3    慱      56-53
5856    9cd4    慟      56-54
5857    9cd5    慝      56-55
5858    9cd6    慓      56-56
5859    9cd7    慵      56-57
585a    9cd8    憙      56-58
585b    9cd9    憖      56-59
585c    9cda    憇      56-60
585d    9cdb    憬      56-61
585e    9cdc    憔      56-62
585f    9cdd    憚      56-63
5860    9cde    憊      56-64
5861    9cdf    憑      56-65
5862    9ce0    憫      56-66
5863    9ce1    憮      56-67
5864    9ce2    懌      56-68
5865    9ce3    懊      56-69
5866    9ce4    應      56-70
5867    9ce5    懷      56-71
5868    9ce6    懈      56-72
5869    9ce7    懃      56-73
586a    9ce8    懆      56-74
586b    9ce9    憺      56-75
586c    9cea    懋      56-76
586d    9ceb    罹      56-77
586e    9cec    懍      56-78
586f    9ced    懦      56-79
5870    9cee    懣      56-80
5871    9cef    懶      56-81
5872    9cf0    懺      56-82
5873    9cf1    懴      56-83
5874    9cf2    懿      56-84
5875    9cf3    懽      56-85
5876    9cf4    懼      56-86
5877    9cf5    懾      56-87
5878    9cf6    戀      56-88
5879    9cf7    戈      56-89
587a    9cf8    戉      56-90
587b    9cf9    戍      56-91
587c    9cfa    戌      56-92
587d    9cfb    戔      56-93
587e    9cfc    戛      56-94
5921    9d40    戞      57-01
5922    9d41    戡      57-02
5923    9d42    截      57-03
5924    9d43    戮      57-04
5925    9d44    戰      57-05
5926    9d45    戲      57-06
5927    9d46    戳      57-07
5928    9d47    扁      57-08
5929    9d48    扎      57-09
592a    9d49    扞      57-10
592b    9d4a    扣      57-11
592c    9d4b    扛      57-12
592d    9d4c    扠      57-13
592e    9d4d    扨      57-14
592f    9d4e    扼      57-15
5930    9d4f    抂      57-16
5931    9d50    抉      57-17
5932    9d51    找      57-18
5933    9d52    抒      57-19
5934    9d53    抓      57-20
5935    9d54    抖      57-21
5936    9d55    拔      57-22
5937    9d56    抃      57-23
5938    9d57    抔      57-24
5939    9d58    拗      57-25
593a    9d59    拑      57-26
593b    9d5a    抻      57-27
593c    9d5b    拏      57-28
593d    9d5c    拿      57-29
593e    9d5d    拆      57-30
593f    9d5e    擔      57-31
5940    9d5f    拈      57-32
5941    9d60    拜      57-33
5942    9d61    拌      57-34
5943    9d62    拊      57-35
5944    9d63    拂      57-36
5945    9d64    拇      57-37
5946    9d65    抛      57-38
5947    9d66    拉      57-39
5948    9d67    挌      57-40
5949    9d68    拮      57-41
594a    9d69    拱      57-42
594b    9d6a    挧      57-43
594c    9d6b    挂      57-44
594d    9d6c    挈      57-45
594e    9d6d    拯      57-46
594f    9d6e    拵      57-47
5950    9d6f    捐      57-48
5951    9d70    挾      57-49
5952    9d71    捍      57-50
5953    9d72    搜      57-51
5a21    9d9f    據      58-01
5a22    9da0    擒      58-02
5a23    9da1    擅      58-03
5a24    9da2    擇      58-04
5a25    9da3    撻      58-05
5a26    9da4    擘      58-06
5a27    9da5    擂      58-07
5a28    9da6    擱      58-08
5a29    9da7    擧      58-09
5a2a    9da8    舉      58-10
5a2b    9da9    擠      58-11
5a2c    9daa    擡      58-12
5a2d    9dab    抬      58-13
5a2e    9dac    擣      58-14
5a2f    9dad    擯      58-15
5a30    9dae    攬      58-16
5a31    9daf    擶      58-17
5a32    9db0    擴      58-18
5a33    9db1    擲      58-19
5a34    9db2    擺      58-20
5a35    9db3    攀      58-21
5a36    9db4    擽      58-22
5a37    9db5    攘      58-23
5a38    9db6    攜      58-24
5a39    9db7    攅      58-25
5a3a    9db8    攤      58-26
5a3b    9db9    攣      58-27
5a3c    9dba    攫      58-28
5a3d    9dbb    攴      58-29
5a3e    9dbc    攵      58-30
5a3f    9dbd    攷      58-31
5a40    9dbe    收      58-32
5a41    9dbf    攸      58-33
5a42    9dc0    畋      58-34
5a43    9dc1    效      58-35
5a44    9dc2    敖      58-36
5a45    9dc3    敕      58-37
5a46    9dc4    敍      58-38
5a47    9dc5    敘      58-39
5a48    9dc6    敞      58-40
5a49    9dc7    敝      58-41
5a4a    9dc8    敲      58-42
5a4b    9dc9    數      58-43
5a4c    9dca    斂      58-44
5a4d    9dcb    斃      58-45
5a4e    9dcc    變      58-46
5a4f    9dcd    斛      58-47
5a50    9dce    斟      58-48
5a51    9dcf    斫      58-49
5a52    9dd0    斷      58-50
5a53    9dd1    旃      58-51
5a54    9dd2    旆      58-52
5a55    9dd3    旁      58-53
5a56    9dd4    旄      58-54
5a57    9dd5    旌      58-55
5a58    9dd6    旒      58-56
5a59    9dd7    旛      58-57
5a5a    9dd8    旙      58-58
5a5b    9dd9    无      58-59
5a5c    9dda    旡      58-60
5a5d    9ddb    旱      58-61
5a5e    9ddc    杲      58-62
5a5f    9ddd    昊      58-63
5a60    9dde    昃      58-64
5a61    9ddf    旻      58-65
5a62    9de0    杳      58-66
5a63    9de1    昵      58-67
5a64    9de2    昶      58-68
5a65    9de3    昴      58-69
5a66    9de4    昜      58-70
5a67    9de5    晏      58-71
5a68    9de6    晄      58-72
5a69    9de7    晉      58-73
5a6a    9de8    晁      58-74
5a6b    9de9    晞      58-75
5a6c    9dea    晝      58-76
5a6d    9deb    晤      58-77
5a6e    9dec    晧      58-78
